0001,96656Kg,141972,3632
0002,20285Kg,185723,711
0003,3272Kg,93791,117
0004,51086Kg,58439,1755
0005,17642Kg,29724,607
0006,369Kg,190550,28
0007,140Kg,142,4
0008,11389Kg,9076,461
0009,325Kg,301,18
0010,3230Kg,3084,133
0011,19842Kg,73978,638
0012,12998Kg,44428,427
0013,507Kg,520,22
0014,4033Kg,20608,176
0015,48889Kg,76350,1665
0016,13905Kg,29446,515
0017,24430Kg,28693,916
0025,0Kg,0,1
