02/01/98,6:48:35,0053,0001,0118Kg,0017,0000,0001,0000,0000,0000,0000
02/01/98,6:50:28,0023,0001,0320Kg,0046,0000,0001,0000,0000,0000,0000
02/01/98,6:52:12,0023,0001,0399Kg,0058,0000,0001,0000,0000,0000,0000
02/01/98,6:54:18,0022,0004,0225Kg,0023,0000,0001,0000,0000,0000,0000
02/01/98,6:58:20,0022,0004,0218Kg,0022,0000,0001,0000,0000,0000,0000
02/01/98,7:00:03,0022,0004,0300Kg,0030,0000,0001,0000,0000,0000,0000
02/01/98,7:01:47,0022,0004,0261Kg,0026,0000,0001,0000,0000,0000,0000
02/01/98,7:03:30,0022,0011,0356Kg,0254,0000,0001,0000,0000,0000,0000
02/01/98,7:09:02,0022,0001,0183Kg,0026,0000,0001,0000,0000,0000,0000
02/01/98,7:10:46,0022,0001,0304Kg,0044,0000,0001,0000,0000,0000,0000
02/01/98,7:12:29,0022,0001,0298Kg,0043,0000,0001,0000,0000,0000,0000
02/01/98,7:18:21,0022,0001,0239Kg,0035,0000,0001,0000,0000,0000,0000
02/01/98,7:20:26,0022,0004,0218Kg,0022,0001,0000,0000,0000,0000,0000
02/01/98,7:21:37,0022,0004,0251Kg,0025,0001,0000,0000,0000,0000,0000
02/01/98,7:22:25,0022,0001,0244Kg,0035,0000,0001,0000,0000,0000,0000
02/01/98,7:23:12,0022,0001,0181Kg,0026,0001,0000,0000,0000,0000,0000
02/01/98,7:24:34,0022,0001,0272Kg,0039,0001,0000,0000,0000,0000,0000
02/01/98,7:26:18,0022,0001,0323Kg,0047,0001,0000,0000,0000,0000,0000
02/01/98,7:27:27,0022,0001,0296Kg,0043,0001,0000,0000,0000,0000,0000
02/01/98,7:28:23,0022,0001,0236Kg,0034,0000,0001,0000,0000,0000,0000
02/01/98,7:30:36,0022,0004,0234Kg,0023,0000,0001,0000,0000,0000,0000
02/01/98,7:35:03,0025,0004,0256Kg,0026,0001,0000,0000,0000,0000,0000
02/01/98,7:36:20,0022,0004,0218Kg,0022,0000,0001,0000,0000,0000,0000
02/01/98,7:36:38,0025,0004,0245Kg,0025,0001,0000,0000,0000,0000,0000
02/01/98,7:37:42,0025,0004,0163Kg,0016,0001,0000,0000,0000,0000,0000
02/01/98,7:38:04,0022,0004,0251Kg,0025,0000,0001,0000,0000,0000,0000
02/01/98,7:38:56,0025,0004,0216Kg,0022,0001,0000,0000,0000,0000,0000
02/01/98,7:39:48,0025,0004,0256Kg,0026,0000,0001,0000,0000,0000,0000
02/01/98,7:39:57,0025,0004,0199Kg,0020,0001,0000,0000,0000,0000,0000
02/01/98,7:41:31,0025,0004,0245Kg,0025,0000,0001,0000,0000,0000,0000
02/01/98,7:41:45,0025,0011,0270Kg,0193,0001,0000,0000,0000,0000,0000
02/01/98,7:43:14,0025,0004,0163Kg,0016,0000,0001,0000,0000,0000,0000
02/01/98,7:44:01,0025,0011,0212Kg,0151,0001,0000,0000,0000,0000,0000
02/01/98,7:44:57,0022,0001,0300Kg,0043,0000,0001,0000,0000,0000,0000
02/01/98,7:46:40,0022,0001,0123Kg,0018,0000,0001,0000,0000,0000,0000
02/01/98,7:48:22,0022,0001,0279Kg,0040,0000,0001,0000,0000,0000,0000
02/01/98,7:50:05,0022,0001,0273Kg,0039,0000,0001,0000,0000,0000,0000
02/01/98,7:51:47,0025,0011,0270Kg,0193,0000,0001,0000,0000,0000,0000
02/01/98,7:55:59,0025,0011,0212Kg,0151,0000,0001,0000,0000,0000,0000
02/01/98,7:57:47,0022,0001,0189Kg,0027,0000,0001,0000,0000,0000,0000
02/01/98,8:00:34,0025,0001,0300Kg,0043,0001,0000,0000,0000,0000,0000
